epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1102.38,1.58675,2.19242,1.15897,0.64042,0.68369,0.71464,0.36761,1.53776,1.46785,1.14247,0.00041627,0.00041627,0.00041627
2,2647.14,1.47165,1.4955,1.15342,0.69783,0.73944,0.77851,0.4092,1.5067,1.19803,1.13957,0.000816445,0.000816445,0.000816445
3,3539.52,1.46471,1.27661,1.1609,0.63427,0.71378,0.72594,0.28782,1.90317,1.23245,1.3339,0.00120012,0.00120012,0.00120012
4,4370.85,1.4248,1.17843,1.14891,0.74181,0.74968,0.80676,0.46491,1.36495,1.0062,1.09605,0.00117575,0.00117575,0.00117575
5,5173.02,1.40469,1.10713,1.1462,0.72999,0.75814,0.81486,0.40185,1.60819,1.04203,1.19915,0.001151,0.001151,0.001151
6,5966.14,1.38959,1.03095,1.13735,0.76238,0.77585,0.83231,0.39697,1.64852,0.93879,1.20197,0.00112625,0.00112625,0.00112625
7,6804.47,1.37602,1.01489,1.13415,0.73747,0.80914,0.84309,0.47599,1.42834,0.89183,1.11961,0.0011015,0.0011015,0.0011015
8,7610.9,1.35883,0.99043,1.12485,0.773,0.81819,0.86102,0.44498,1.54349,0.84891,1.16112,0.00107675,0.00107675,0.00107675
9,8431.95,1.34587,0.96516,1.11721,0.7912,0.80957,0.87038,0.47255,1.4733,0.82866,1.12703,0.001052,0.001052,0.001052
10,9242.12,1.34462,0.95256,1.11592,0.76631,0.79775,0.85461,0.47448,1.43107,0.84216,1.11652,0.00102725,0.00102725,0.00102725
11,10054.5,1.33256,0.92399,1.1155,0.79656,0.80924,0.86983,0.47689,1.50139,0.79913,1.14563,0.0010025,0.0010025,0.0010025
12,10916.8,1.31117,0.90287,1.11,0.75808,0.82391,0.86359,0.44748,1.58449,0.81418,1.17207,0.00097775,0.00097775,0.00097775
13,12105.8,1.31617,0.88517,1.11097,0.7801,0.81035,0.87729,0.49834,1.40255,0.76936,1.10364,0.000953,0.000953,0.000953
14,13015.2,1.31681,0.89013,1.10752,0.77205,0.83742,0.88588,0.52921,1.35585,0.77883,1.08442,0.00092825,0.00092825,0.00092825
15,13817.3,1.30182,0.879,1.10002,0.76576,0.8205,0.87457,0.50843,1.35941,0.81214,1.0841,0.0009035,0.0009035,0.0009035
16,14623.4,1.29581,0.87378,1.09684,0.80392,0.79407,0.88013,0.5225,1.366,0.78632,1.08352,0.00087875,0.00087875,0.00087875
17,15531.8,1.29943,0.87207,1.10056,0.80242,0.82468,0.8875,0.51792,1.36276,0.74067,1.08829,0.000854,0.000854,0.000854
18,17119.6,1.28199,0.85747,1.09278,0.78786,0.82411,0.88345,0.50145,1.45035,0.77193,1.12532,0.00082925,0.00082925,0.00082925
19,18186,1.28413,0.83885,1.09864,0.79706,0.83296,0.89285,0.52905,1.35885,0.74275,1.08424,0.0008045,0.0008045,0.0008045
20,19009,1.28532,0.83369,1.09286,0.79662,0.81923,0.87807,0.49397,1.42244,0.7826,1.10538,0.00077975,0.00077975,0.00077975
21,19826.7,1.28013,0.83359,1.09441,0.80643,0.81393,0.8793,0.44668,1.67594,0.77964,1.21964,0.000755,0.000755,0.000755
22,20682.2,1.26884,0.82272,1.0908,0.82391,0.82797,0.8989,0.45733,1.61033,0.76193,1.17603,0.00073025,0.00073025,0.00073025
23,21516,1.26166,0.80454,1.08532,0.80999,0.81653,0.88789,0.50159,1.41187,0.74672,1.09792,0.0007055,0.0007055,0.0007055
24,22324.4,1.24636,0.80676,1.07748,0.80949,0.83069,0.89336,0.51997,1.40786,0.73831,1.09879,0.00068075,0.00068075,0.00068075
25,23121.4,1.24016,0.8015,1.07723,0.81828,0.8301,0.90427,0.48488,1.51375,0.72407,1.13773,0.000656,0.000656,0.000656
26,23915.9,1.24818,0.78654,1.07716,0.82781,0.82442,0.90343,0.52001,1.40868,0.70391,1.09661,0.00063125,0.00063125,0.00063125
27,24703.8,1.25045,0.80365,1.08216,0.78836,0.85388,0.89891,0.51598,1.41269,0.70492,1.09886,0.0006065,0.0006065,0.0006065
28,25484.4,1.22972,0.79039,1.07141,0.81678,0.82869,0.88936,0.46468,1.58938,0.75739,1.17323,0.00058175,0.00058175,0.00058175
29,26394.8,1.24019,0.77893,1.07408,0.82075,0.8233,0.89598,0.51162,1.40621,0.72097,1.09305,0.000557,0.000557,0.000557
