epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7969,2.17932,3.06586,1.25612,0.42314,0.47121,0.40713,0.1753,1.91087,2.5602,1.06411,0.000469224,0.000469224,0.000469224
2,162.9,1.99349,1.87583,1.12891,0.53899,0.67406,0.59469,0.25301,1.90324,1.73834,1.10895,0.000929956,0.000929956,0.000929956
3,239.087,1.87837,1.71097,1.10663,0.57296,0.59155,0.58947,0.23666,2.02108,1.79533,1.15363,0.00137497,0.00137497,0.00137497
4,307.602,1.86057,1.63264,1.09431,0.54377,0.64556,0.61957,0.27139,1.85493,1.66087,1.1383,0.00135826,0.00135826,0.00135826
5,381.949,1.8091,1.73058,1.10404,0.57108,0.70779,0.65488,0.282,1.76375,1.49856,1.11658,0.00133469,0.00133469,0.00133469
6,452.813,1.76354,1.61484,1.10121,0.59608,0.75205,0.72925,0.33876,1.74297,1.35346,1.09286,0.00131111,0.00131111,0.00131111
7,530.812,1.72807,1.49161,1.07559,0.6659,0.74526,0.73653,0.32211,1.79012,1.30801,1.11642,0.00128753,0.00128753,0.00128753
8,609.227,1.72951,1.4215,1.08625,0.6681,0.7222,0.73795,0.32396,1.8158,1.32704,1.14207,0.00126395,0.00126395,0.00126395
9,699.132,1.69908,1.40489,1.05972,0.60143,0.75062,0.67757,0.25269,2.05812,1.40152,1.17726,0.00124037,0.00124037,0.00124037
10,784.099,1.71641,1.41869,1.08147,0.66433,0.78688,0.75352,0.32899,1.82441,1.28028,1.14752,0.00121679,0.00121679,0.00121679
11,926.289,1.69823,1.34525,1.06555,0.69155,0.71201,0.76016,0.35735,1.70513,1.27022,1.11558,0.00119322,0.00119322,0.00119322
12,1024.31,1.67956,1.28245,1.06312,0.67451,0.69341,0.72088,0.2793,1.97827,1.34735,1.17748,0.00116964,0.00116964,0.00116964
