epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3267,2.28095,7.64219,1.81693,0.00107,0.00421,0.00054,0.00023,1.24895,8.37039,1.45477,0.00011432,0.00011432,0.00011432
2,241.639,1.88782,6.32074,1.47323,0.00065,0.00253,0.00099,0.00014,1.66107,8.59475,1.83573,0.000240525,0.000240525,0.000240525
3,346.752,1.70536,4.41605,1.37525,0.00134,0.00505,0.00203,0.00022,1.88324,8.65599,2.05138,0.000364184,0.000364184,0.000364184
4,466.022,1.72347,3.43109,1.33616,0.00289,0.01094,0.0067,0.00091,2.08224,8.75395,2.18005,0.000485296,0.000485296,0.000485296
5,561.56,1.77391,4.16254,1.27674,0.01264,0.04461,0.04181,0.00828,2.36887,7.06194,2.13495,0.000603861,0.000603861,0.000603861
6,653.838,1.66582,3.51985,1.22273,0.01144,0.0517,0.0309,0.01041,2.19164,7.51033,1.96762,0.00071988,0.00071988,0.00071988
7,728.298,1.60507,3.6328,1.22025,0.00903,0.0431,0.02165,0.00735,1.94576,7.42586,1.86107,0.000833353,0.000833353,0.000833353
8,808.669,1.55724,3.80483,1.24306,0.28337,0.04869,0.046,0.00927,2.13826,6.13181,1.85609,0.000944279,0.000944279,0.000944279
9,901.97,1.67262,3.4185,1.26181,0.29519,0.03086,0.04874,0.01204,2.27021,5.9372,1.83009,0.00105266,0.00105266,0.00105266
10,1001.94,1.89971,3.39191,1.36492,0.26115,0.01702,0.03382,0.0099,2.14171,6.71907,1.6393,0.00115849,0.00115849,0.00115849
11,1058.23,1.68458,3.30289,1.25102,0.01068,0.10091,0.02016,0.00569,1.95803,6.96629,1.44299,0.00126178,0.00126178,0.00126178
12,1128.55,1.59755,3.40422,1.18061,0.00381,0.02795,0.00333,0.00085,1.99374,8.37313,1.62955,0.00127338,0.00127338,0.00127338
13,1215.72,1.71618,3.9498,1.18361,0.56953,0.02712,0.04859,0.00631,2.73047,6.07599,1.89607,0.00125923,0.00125923,0.00125923
14,1265.95,1.72639,3.48358,1.25046,0.4296,0.04076,0.0329,0.00449,2.82175,6.2821,2.00981,0.00124509,0.00124509,0.00124509
15,1347.59,1.64491,3.40298,1.18251,0.5806,0.03144,0.05356,0.01242,2.68056,6.54334,1.69876,0.00123094,0.00123094,0.00123094
16,1422.11,1.74508,3.28384,1.20175,0.59073,0.02853,0.05931,0.01567,2.76763,6.59392,1.59204,0.00121679,0.00121679,0.00121679
17,1554.54,1.59045,2.86032,1.15089,0.43188,0.04313,0.05784,0.01321,3.00976,6.29389,1.61876,0.00120265,0.00120265,0.00120265
18,1834.51,1.78507,3.52779,1.19461,0.24663,0.03552,0.0303,0.00554,3.17126,6.55452,1.7676,0.0011885,0.0011885,0.0011885
19,1938.66,1.66631,3.21755,1.18949,0.12115,0.08476,0.05044,0.00803,3.33734,6.06909,2.01554,0.00117435,0.00117435,0.00117435
20,2025.03,1.77324,3.40568,1.24868,0.65121,0.06424,0.07187,0.01884,3.07576,5.34857,1.72441,0.00116021,0.00116021,0.00116021
21,2110.44,1.70016,3.04176,1.18294,0.6715,0.06424,0.07578,0.02865,2.88777,4.59969,1.54434,0.00114606,0.00114606,0.00114606
22,2156.34,1.6655,3.27846,1.19781,0.72685,0.06003,0.07471,0.03005,2.79815,4.80278,1.46541,0.00113191,0.00113191,0.00113191
